Account,URL,Has Sitemap,Is Active
Midstate Mitsubishi,https://www.midstatemitsu.com/,TRUE,TRUE
New Bedford Mitsubishi,https://www.newbedfordmitsubishi.com/,TRUE,TRUE
Volkswagen Laurentides,https://www.vwlaurentides.com/,TRUE,TRUE
Volkswagen Richmond Hill,https://www.richmondhillvw.ca/,TRUE,TRUE
Volkswagen Victoriaville,https://www.vwvicto.com/fr,TRUE,TRUE
Westwood Honda,https://westwoodhonda.com/,TRUE,TRUE
Windsor Hyundai,https://www.windsorhyundai.ca/,FALSE,FALSE
Yorkdale Dufferin Mazda,https://www.yorkdaledufferinmazda.ca/,TRUE,FALSE
IG Burton and Co.,http://www.igburton.com/,TRUE,FALSE
Stop 23 Auto Sales Ltd,https://www.stop23.ca/,TRUE,FALSE
Alliston Volkswagen,https://www.allistonvw.com/,TRUE,TRUE
Hyundai of Aurora,https://www.hyundaiofaurora.ca/,TRUE,TRUE
Auto Clearing Jeep & Ram,https://www.autoclearing.com/,TRUE,TRUE
Bathurst Honda,https://www.bathursthonda.com/,TRUE,TRUE
Bayview Chrysler Dodge,https://www.bayviewchryslerdodge.com/,TRUE,TRUE
Duncan Hyundai,https://www.duncanhyundai.net/,TRUE,TRUE
Vegreville Ford,https://www.vegford.ca/,TRUE,FALSE
Volvo Laval,https://www.volvolaval.com/en,TRUE,TRUE
Volvo de Québec,https://www.volvodequebec.com/fr,TRUE,FALSE
Windsor Chrysler,https://www.windsorchrysler.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_term=GoogleLocalTraffic/,TRUE,TRUE
Zender Ford,https://www.zenderford.com/,TRUE,TRUE
Turner Volkswagen,https://www.turnervw.ca/en,TRUE,TRUE
Vaudreuil Volkswagen,https://www.vaudreuilvolkswagen.com/,FALSE,FALSE
Kingscross Hyundai,https://www.kingscrosshyundai.ca/,TRUE,FALSE
Town + Country Volkswagen,https://www.tcvw.ca/en,TRUE,TRUE
Clarkdale Volkswagen,https://www.clarkdale.ca/,TRUE,TRUE
Johnstons Subaru,https://www.johnstonssubaru.com/,TRUE,TRUE
Grand Junction Subaru,https://www.rockymtnsubaru.com/,TRUE,TRUE
Lally Auto Group,https://www.lallyauto.com/,TRUE,TRUE
Mike Jackson GM,https://www.mikejacksongm.com/,TRUE,TRUE
Lougheed Hyundai,https://www.lougheedhyundai.com/,TRUE,TRUE
Star Subaru,https://www.starsubaru.com/,TRUE,TRUE
Subaru of Cherry Hill,https://www.subaruofcherryhill.com/,TRUE,TRUE
Valley Ford Kentville,https://www.valleyford.ca/,TRUE,TRUE
Mike Yarek Dodge Chrysler Limited,https://www.mikeyarekdodge.ca/,TRUE,TRUE
Hanover Chrysler Dodge Jeep,https://www.hanoverchryslerdodge.com/,TRUE,TRUE
Bouctouche Chrysler Dodge,https://www.bouctouchechrysler.ca/,TRUE,TRUE
Gold Rush Subaru,https://www.goldrushsubaru.com/,TRUE,TRUE
Owasco Volkswagen,https://owascovolkswagen.ca/,FALSE,FALSE
Sterne Acura,https://www.sterneacura.com/,TRUE,TRUE
Surrey Honda,https://www.surreyhonda.com/,TRUE,TRUE
Preston GM,https://www.prestongm.com/,TRUE,TRUE
Riverside Dodge,https://www.riversidechrysler.ca/,TRUE,FALSE
Mercedes-Benz Laval,https://www.mercedes-benz-laval.ca/fr,TRUE,FALSE
Leduc Chrysler,https://www.leducchrysler.ca/,FALSE,FALSE
MacMaster Chevrolet Cadillac Buick GMC,https://www.macmasterchev.ca/,TRUE,TRUE
Kia West,https://www.kiawest.com/,TRUE,FALSE
Stetson GM,https://www.stetsongm.com/,TRUE,FALSE
Jaguar Laval,https://www.jaguarlaval.com/eng/,FALSE,FALSE
Kia of Owen Sound,https://www.kiaowensound.ca/,TRUE,FALSE
Georgetown Volkswagen,https://www.georgetownvw.com/,TRUE,TRUE
Gold Key Langley Volkswagen,https://www.goldkeylangleyvw.ca/,FALSE,TRUE
Grand Touring Automobiles,https://www.grandtouringautos.com/,TRUE,TRUE
Guelph Volkswagen,https://www.gvw.ca/en,TRUE,TRUE
Hamilton Volkswagen,https://www.hamiltonvw.com/en,TRUE,FALSE
Heninger Toyota,https://www.heningertoyota.com/,TRUE,TRUE
